ID_Reclamacion,ID_Seguro,ID_Cliente,Fecha_Reclamacion,Descripcion_Reclamacion,Monto_Reclamacion,Estado_Reclamacion
3001,2001,1001,10/05/2024,Daño por inundación,25000.0,Aprobada
3002,2003,1002,15/07/2024,Robo de equipo,15000.5,En Proceso
3003,2004,1003,22/03/2024,Incidente laboral,30000.75,Aprobada
3004,2005,1004,10/04/2024,Incendio parcial,10000.25,Rechazada
3005,2002,1001,05/06/2024,Daño estructural,40000.0,Aprobada
3006,2043,1003,29/06/2024,Colisión múltiple,12257.49,En Proceso
3007,2018,1052,22/04/2024,Accidente vial,16815.74,Aprobada
3008,2019,1032,18/09/2023,Robo de vehículo,56810.03,En Proceso
3009,2044,1075,18/03/2024,Colisión múltiple,14187.94,Aprobada
3010,2031,1006,09/10/2024,Incendio total,39274.71,Aprobada
3011,2008,1100,29/02/2024,Derrumbe estructural,12313.67,En Proceso
3012,2030,1015,23/06/2024,Daños por manifestación,47179.03,Aprobada
3013,2049,1018,04/01/2025,Colisión múltiple,42260.71,Rechazada
3014,2010,1017,16/06/2025,Falla mecánica grave,8566.49,Aprobada
3015,2025,1007,27/12/2023,Hurto domiciliario,43403.35,En Proceso
3016,2046,1058,06/04/2023,Daños por manifestación,55436.26,Rechazada
3017,2018,1022,19/12/2023,Accidente vial,30802.4,Aprobada
3018,2040,1048,17/03/2023,Accidente en obra,14478.71,Rechazada
3019,2003,1039,30/11/2023,Hurto domiciliario,34764.74,En Proceso
3020,2017,1079,22/02/2023,Derrumbe estructural,54330.54,Rechazada
3021,2016,1067,24/01/2023,Derrumbe estructural,35761.47,Aprobada
3022,2008,1022,19/04/2025,Incendio total,59117.36,Aprobada
3023,2028,1081,09/03/2023,Accidente vial,33588.59,En Proceso
3024,2007,1004,12/12/2023,Accidente en obra,55550.12,En Proceso
3025,2035,1090,06/06/2024,Explosión interna,58582.06,Rechazada
3026,2046,1019,15/11/2024,Vandalismo urbano,37149.26,Rechazada
3027,2026,1034,19/12/2024,Pérdida total por choque,18228.49,Aprobada
3028,2002,1078,25/06/2023,Falla mecánica grave,53190.48,Aprobada
3029,2001,1098,23/07/2023,Accidente en obra,33588.53,Aprobada
3030,2016,1041,01/12/2024,Daños por manifestación,47101.62,En Proceso
3031,2010,1045,12/05/2023,Daños por manifestación,30028.5,En Proceso
3032,2016,1078,07/09/2023,Robo de vehículo,43305.14,En Proceso
3033,2049,1093,24/02/2023,Explosión interna,41042.38,Rechazada
3034,2013,1064,16/04/2023,Daños por manifestación,58716.66,Rechazada
3035,2035,1082,03/05/2023,Inundación severa,31812.42,En Proceso
3036,2045,1087,26/12/2023,Daño por terremoto,52808.77,Aprobada
3037,2032,1070,11/07/2024,Robo de vehículo,57336.23,Rechazada
3038,2040,1091,07/08/2023,Pérdida total por choque,21409.2,Rechazada
3039,2038,1096,18/08/2024,Incendio total,21509.8,Aprobada
3040,2026,1026,10/04/2024,Incendio total,47992.88,Rechazada
3041,2025,1043,15/11/2023,Vandalismo urbano,54423.67,Aprobada
3042,2012,1097,18/03/2023,Robo de vehículo,55205.76,Aprobada
3043,2030,1095,04/04/2024,Colisión múltiple,24546.34,Aprobada
3044,2014,1069,11/04/2024,Pérdida total por choque,37759.87,Rechazada
3045,2030,1087,16/03/2024,Daño por granizo,22578.52,En Proceso
3046,2031,1075,14/12/2023,Hurto domiciliario,30633.17,En Proceso
3047,2033,1029,25/08/2024,Pérdida total por choque,33000.63,Aprobada
3048,2007,1053,27/03/2025,Robo de autopartes,36849.88,En Proceso
3049,2008,1045,02/11/2024,Inundación severa,30561.1,Rechazada
3050,2040,1046,13/09/2024,Pérdida total por choque,26660.68,En Proceso
3051,2043,1089,10/02/2023,Accidente en obra,18563.64,En Proceso
3052,2039,1050,19/02/2023,Derrumbe estructural,10595.33,Aprobada
3053,2016,1078,19/06/2025,Accidente en obra,11930.04,Rechazada
3054,2017,1013,13/04/2024,Hurto domiciliario,21696.53,En Proceso
3055,2048,1024,23/12/2023,Hurto domiciliario,36657.83,Rechazada
3056,2009,1024,11/11/2024,Daño por granizo,12526.14,Aprobada
3057,2014,1067,18/07/2023,Colisión múltiple,42133.63,En Proceso
3058,2017,1043,16/02/2025,Inundación severa,58395.63,Aprobada
3059,2026,1013,21/04/2025,Falla mecánica grave,58001.36,En Proceso
3060,2012,1083,06/07/2023,Incendio total,38531.28,En Proceso
3061,2037,1008,30/07/2024,Accidente vial,17519.29,Aprobada
3062,2035,1064,16/04/2024,Robo de autopartes,25604.85,En Proceso
3063,2048,1055,21/02/2024,Accidente en obra,13285.8,Aprobada
3064,2011,1060,17/12/2024,Robo de vehículo,34338.23,Aprobada
3065,2049,1050,19/10/2024,Derrumbe estructural,37540.26,Aprobada
3066,2003,1089,12/09/2023,Incendio total,32357.64,Rechazada
3067,2038,1012,08/09/2023,Robo de autopartes,42412.98,Aprobada
3068,2004,1002,14/11/2024,Accidente vial,14812.01,En Proceso
3069,2007,1049,07/05/2025,Derrumbe estructural,23293.14,Rechazada
3070,2018,1003,28/05/2023,Colisión múltiple,24089.07,En Proceso
3071,2017,1052,01/05/2023,Derrumbe estructural,59411.81,Aprobada
3072,2003,1043,16/06/2023,Accidente en obra,42009.27,Rechazada
3073,2020,1097,02/06/2025,Inundación severa,12488.76,Rechazada
3074,2035,1075,17/05/2023,Daño por granizo,14243.71,Rechazada
3075,2022,1007,23/02/2025,Vandalismo urbano,30100.0,Aprobada
3076,2006,1073,19/04/2024,Vandalismo urbano,19239.6,Rechazada
3077,2007,1044,21/05/2025,Daño por terremoto,35491.78,Aprobada
3078,2019,1031,29/07/2024,Robo de autopartes,40289.08,Rechazada
3079,2012,1089,01/02/2025,Hurto domiciliario,21014.8,Aprobada
3080,2039,1015,13/11/2024,Colisión múltiple,12653.39,Rechazada
