ID_Cliente,Razon_Social,Delegacion_Municipio,Giro_Empresa,Num_Empleados,Ingresos_Anuales,Fecha_Alta,Email_Contacto,Telefono
1000,"Quintanilla, Vera y Pedraza MX",Benito Juárez,Tecnología,389,9728452,2022-06-08,riosfabiola@valdes.biz,780.446.1851
1001,Loera-Melgar S. R.L. de C.V. Integral,Cuauhtémoc,Alimentos,387,3939167,2012-09-06,de-la-torresara@laboratorios.com,223.886.6428x3964
1002,Valadez y Sevilla e Hijos MX,Tlalpan,Logística,54,20313640,2019-12-26,jcuriel@industrias.info,05386006527
1003,Muñoz-Cantú S. R.L. de C.V. y Asociados,Benito Juárez,Tecnología,57,7836273,2024-10-25,blancomaria-elena@espinosa-del.com,038-046-8737x26456
1004,"Despacho Hernandes, Salas y Arroyo Integral",Miguel Hidalgo,Manufactura,23,19332259,2014-09-07,wescobar@corporacin.com,865.776.1763x351
1005,Narváez-Orosco S.A. de C.V. Integral,Tlalpan,Logística,224,7896759,2013-08-12,jrojo@club.com,120.305.9445x7638
1006,Terrazas S.A. de C.V. y Asociados,Miguel Hidalgo,Construcción,424,718062,2021-02-07,de-la-rosaalonso@acosta-acevedo.com,+51(0)5629023695
1007,"Valles, Coronado y Negrete Integral",Tlalpan,Salud,184,9823815,2020-06-23,uabreu@balderas.net,1-862-581-2589x534
1008,"Gutiérrez, Gonzales y Reynoso Integral",Cuauhtémoc,Transporte,62,3612034,2013-09-05,rolandomiramontes@guillen-escobedo.com,203.384.4295
1009,Proyectos Puga y Espinoza y Asociados,Benito Juárez,Transporte,443,12041238,2012-09-02,carolinabarela@baez.biz,+86(0)9240252876
1010,Narváez S.C. Latinoamérica,Iztapalapa,Tecnología,383,15915740,2020-09-04,dominguezpablo@del.info,1-373-904-4931x0491
1011,Grupo Carreón y Ceja Latinoamérica,Benito Juárez,Salud,50,19023409,2015-11-13,pedrozamarisol@club.com,+36(3)5685906164
1012,Proyectos de la Rosa-Bustos Express,Azcapotzalco,Manufactura,463,12634457,2019-12-06,antoniaesquivel@abreu.com,973.387.7314
1013,Polanco y Hurtado S.A. de C.V. Latinoamérica,Cuauhtémoc,Educación,33,22688315,2019-10-28,smarquez@arredondo-magana.com,+78(2)3581788434
1014,Industrias Báez y Arevalo Integral,Azcapotzalco,Construcción,50,8311165,2011-01-16,berta39@garibay.com,008.253.5073x43687
1015,"Despacho Sáenz, Cordero y Carreón del Norte",Coyoacán,Construcción,242,21830030,2010-09-09,omar78@laboratorios.com,(246)478-7724x74263
1016,Leiva y Barajas S.A. Express,Cuauhtémoc,Transporte,191,7529889,2018-02-04,itzelpadilla@limon-lomeli.info,1-088-414-9670x0061
1017,Grupo Rico-Saavedra MX,Iztapalapa,Educación,321,21806335,2012-07-04,renato37@despacho.com,(837)268-3757x2594
1018,Hernandes-Navarro A.C. Integral,Miguel Hidalgo,Seguros,93,16010878,2011-08-30,msolorzano@proyectos.com,439-558-2313x0213
1019,"Despacho Arredondo, Badillo y Moya y Asociados",Iztapalapa,Logística,122,23471842,2015-10-21,unarvaez@despacho.com,(316)955-7182x518
1020,Corporacin Polanco-de León Express,Azcapotzalco,Tecnología,127,1577105,2024-08-29,yvenegas@laboratorios.info,(603)108-7832x44617
1021,Corporacin Vera-Almanza Express,Coyoacán,Construcción,43,7579409,2015-04-02,cristina08@chapa-benavidez.biz,889-523-0705
1022,Rivas-Olivera y Asociados Latinoamérica,Tlalpan,Transporte,118,22492872,2017-12-23,dcarreon@negron.com,503-786-5691x620
1023,Grupo Gutiérrez-Camacho y Asociados,Coyoacán,Finanzas,83,9387903,2022-10-09,gaonabernabe@grupo.org,798.920.1855x8712
1024,Guajardo y Garza S.C. Integral,Cuauhtémoc,Logística,285,9316145,2012-08-30,wiglesias@tamez-munguia.com,552-941-3598
1025,Club Raya y Alonzo MX,Miguel Hidalgo,Salud,469,20080115,2010-09-07,maria-eugeniarodriquez@de.com,(815)213-0207
1026,Calvillo y Asociados y Asociados,Iztapalapa,Seguros,80,17596865,2010-07-10,gabino52@grupo.info,(577)314-9707
1027,"Centeno, Torres y Villanueva y Asociados",Benito Juárez,Tecnología,450,4179214,2019-10-24,pmarrero@corporacin.com,758-112-9464
1028,Macías y Asociados Integral,Tlalpan,Alimentos,415,23333160,2015-08-30,luis-miguel37@grupo.biz,604.763.4472x13801
1029,Vaca y Prieto y Asociados y Asociados,Miguel Hidalgo,Educación,207,13305018,2016-09-26,elias21@industrias.biz,02354592166
1030,Proyectos Orellana-Chacón Latinoamérica,Coyoacán,Logística,138,19063180,2010-09-23,fbenavides@henriquez.org,1-883-690-7351x02895
1031,Despacho Maya y Venegas del Norte,Tlalpan,Educación,359,18517734,2011-05-23,ana91@aguayo.org,1-387-607-6683x8330
1032,"Carranza, Zavala y Lucero Express",Azcapotzalco,Transporte,67,10348230,2020-05-01,spelayo@industrias.com,026-221-8391x5148
1033,Cintrón y Asociados y Asociados,Cuauhtémoc,Finanzas,11,24729388,2010-10-29,jaquelinesalazar@industrias.org,401-266-1355
1034,Grupo Longoria-Blanco MX,Iztapalapa,Logística,400,6494562,2018-02-06,xtapia@cruz.com,(198)056-8586
1035,Club Barrios y Gómez Latinoamérica,Benito Juárez,Construcción,440,21939587,2017-03-24,gregorio60@laboratorios.info,398.608.1652x68879
1036,"Pedraza, Valencia y Ballesteros Latinoamérica",Miguel Hidalgo,Seguros,88,13046466,2020-12-06,concepcionpichardo@hernadez-olivera.biz,(742)266-1791x0776
1037,Navarrete-Sotelo Integral,Miguel Hidalgo,Logística,480,519189,2023-03-08,pulidomarisol@grupo.biz,1-808-503-7711x639
1038,Grupo Zambrano-Abrego Latinoamérica,Iztapalapa,Finanzas,19,4253657,2019-07-16,xcaballero@laboratorios.org,605.859.4507x1005
1039,Cavazos S.A. de C.V. Express,Azcapotzalco,Construcción,132,2443646,2013-10-26,ramirezrodrigo@trevino-esquivel.com,001-028-4024
1040,Munguía e Hijos Integral,Miguel Hidalgo,Educación,53,16807133,2025-06-13,lermarocio@grupo.org,272.366.8814x65409
1041,Chavarría-de la Fuente del Norte,Azcapotzalco,Logística,402,4719822,2014-05-13,apuente@moya-urbina.com,1-729-897-3857x769
